"LOCATION","Country","SUBJECT","Subject","SECTOR","Sector","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1970","1970",0.6883788,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1971","1971",0.6864541,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1972","1972",0.6714143,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1973","1973",0.68624,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1974","1974",0.7342425,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1975","1975",0.7165413,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1976","1976",0.7074282,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1977","1977",0.7115799,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1978","1978",0.6722584,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1979","1979",0.6583645,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1980","1980",0.6673988,"E","Estimated value"
