Country,"Year","pop_total"
Australia,1788,0.9
Australia,1789,1
Australia,1791,2.1
Australia,1800,5.2
Australia,1810,11.6
Australia,1818,25
Australia,1820,33.6
Australia,1828,36.6
Australia,1830,70
Australia,1834,127.2
Australia,1840,170.4
Australia,1841,178.9
Australia,1847,340.5
Australia,1850,405.4
Australia,1851,648.9
Australia,1858,833.6
Australia,1860,1145.6
Australia,1861,1161.2
Australia,1868,1499.6
Australia,1870,1647.7
Australia,1871,1633
Australia,1875,1952.1
Australia,1880,2231.5
Australia,1881,2250
Australia,1884,2740.2
Australia,1886,2901.7
Australia,1889,3076.1
Australia,1890,3151.3
Australia,1891,3178
Australia,1896,3539.8
Australia,1900,3765.3
Australia,1901,3773
Australia,1902,3875
Australia,1903,4312
Australia,1904,4455
Australia,1905,3978
Australia,1906,4091
Australia,1907,4162
Australia,1908,4232
Australia,1909,4324
Australia,1910,4525.1
Australia,1911,4568.7
Australia,1912,4733
Australia,1913,4872
Australia,1914,4921.8
Australia,1915,4951.1
Australia,1916,4903
Australia,1917,4895.9
Australia,1918,4980.6
Australia,1919,5140.5
Australia,1920,5411
Australia,1921,5435.7
Australia,1922,5570
Australia,1923,5706
Australia,1924,5811
Australia,1925,5492
Australia,1926,6043.9
Australia,1927,6167.4
Australia,1928,6302
Australia,1929,6412
Australia,1930,6501
Australia,1931,6526
Australia,1932,6577
Australia,1933,6629.8
Australia,1934,6677
Australia,1935,6724.3
Australia,1936,6766
Australia,1937,6867
Australia,1938,6881.9
Australia,1939,6968
Australia,1940,7078
Australia,1941,7110
Australia,1942,7137
Australia,1943,7235
Australia,1944,7310
Australia,1945,7392
Australia,1946,7465
Australia,1947,7525
Australia,1948,7709
Australia,1949,7908
Australia,1950,8307
Australia,1951,8422
Australia,1952,8636
Australia,1953,8815
Australia,1954,8987
Australia,1955,9200
Australia,1956,9426
Australia,1957,9640
Australia,1958,9842
Australia,1959,10056
Australia,1960,10392
Australia,1961,10483
Australia,1962,10742
Australia,1963,10950
Australia,1964,11167
Australia,1965,11388
Australia,1966,11651
Australia,1967,11799
Australia,1968,12009
Australia,1969,12263
Australia,1970,12663
Australia,1971,12937
Australia,1972,13177
Australia,1973,13380
Australia,1974,13599
Australia,1975,13878
Australia,1976,13916
Australia,1977,14074
Australia,1978,14249
Australia,1979,14421.9
Australia,1980,14726
Australia,1981,14900
Australia,1982,15200
Australia,1983,15451.9
Australia,1984,15544
Australia,1985,15789
Australia,1986,15974
Australia,1987,16108
Australia,1988,16530
Australia,1989,17068.2
Australia,1990,17169
Australia,1991,17210.8
Australia,1992,17540
Australia,1993,17707
Australia,1994,17849
Australia,1995,18240
Australia,1996,17892.4
Australia,1997,18532
Australia,1998,18751
Australia,1999,18967
Australia,2000,19169.1
Australia,2001,18970.2
Australia,2005,20190
Australia,2010,20971
Australia,2015,21618
Australia,2020,22113
Australia,2025,22523
Australia,2030,22824
Australia,2050,22846
Austria,1754,6175
Austria,1754,2728
Austria,1780,11723
Austria,1780,2970
Austria,1790,3046
Austria,1800,3064
Austria,1810,3054
Austria,1818,13381
Austria,1821,13964
Austria,1821,3202
Austria,1824,14519
Austria,1827,15131
Austria,1830,15588
Austria,1830,3476.5
Austria,1834,15714
Austria,1837,16083
Austria,1840,16575
Austria,1840,3649.7
Austria,1843,17073
Austria,1846,17613
Austria,1850,3879.7
Austria,1851,17535
Austria,1857,18225
Austria,1857,4075.5
Austria,1869,20218
Austria,1869,4497.9
Austria,1870,4520
Austria,1871,4562
Austria,1872,4604
Austria,1873,4646
Austria,1874,4688
Austria,1875,4730
Austria,1876,4772
Austria,1877,4815
Austria,1878,4857
Austria,1879,4899
Austria,1880,22144
Austria,1880,4963.1
Austria,1881,4985
Austria,1882,5030
Austria,1883,5075
Austria,1884,5121
Austria,1885,5166
Austria,1886,5212
Austria,1887,5257
Austria,1888,5303
Austria,1889,5348
Austria,1890,23708
Austria,1890,5417.4
Austria,1891,5446
Austria,1892,5504
Austria,1893,5563
Austria,1894,5622
Austria,1895,5680
Austria,1896,5739
Austria,1897,5798
Austria,1898,5856
Austria,1899,5915
Austria,1900,25922
Austria,1900,6003.8
Austria,1901,6035
Austria,1902,6099
Austria,1903,6164
Austria,1904,6228
Austria,1905,6292
Austria,1906,6357
Austria,1907,6421
Austria,1908,6485
Austria,1909,6550
Austria,1910,6648.3
Austria,1911,6669
Austria,1912,6724
Austria,1913,6767
Austria,1914,6813
Austria,1915,6754
Austria,1916,6696
Austria,1917,6587
Austria,1918,6478
Austria,1919,6420
Austria,1920,6455
Austria,1921,6504
Austria,1922,6528
Austria,1923,6534.7
Austria,1924,6562
Austria,1925,6582
Austria,1926,6603
Austria,1927,6623
Austria,1928,6643
Austria,1929,6664
Austria,1930,6684
Austria,1931,6705
Austria,1932,6725
Austria,1933,6746
Austria,1934,6760.2
Austria,1935,6761
Austria,1936,6758
Austria,1937,6755
Austria,1938,6753
Austria,1939,6652.7
Austria,1940,6700
Austria,1941,6740
Austria,1942,6780
Austria,1943,6810
Austria,1944,6830
Austria,1945,6800
Austria,1946,7000
Austria,1947,6971
Austria,1948,6953
Austria,1949,6943
Austria,1950,6935
Austria,1951,6933.9
Austria,1952,6928
Austria,1953,6932
Austria,1954,6940
Austria,1955,6947
Austria,1956,6952
Austria,1957,6966
