"countrycode","year","v_c","v_i","v_g","v_x","v_m","v_gdp","q_c","q_i","q_g","q_x","q_m","q_gdp","pop","xr","xr2","v_gfcf","q_gfcf","emp","avh"
"ABW",1970,189.963191,114.018766,69.651261,267.990905,325.313738,316.167742,257.395409526931,147.119510668121,80.131809882641,467.801893291715,472.734259845427,440.587798180564,0.059063,1.79,1.79,108.291892,147.119518940867,NA,NA
"ABW",1971,200.090287,120.097216,73.36441,282.276689,342.656291,333.022062,280.788714552991,160.490462741221,87.4145511894978,510.317902098346,515.698588917114,480.630508322102,0.05944,1.79,1.79,114.065055,160.490450154329,NA,NA
"ABW",1972,210.755701,126.498761,77.274987,297.3251,360.921441,350.774853,306.308208224138,175.076536760463,95.3591998413149,556.698062820404,562.567795571841,524.312489973669,0.05984,1.79,1.79,120.145037,175.076536806127,NA,NA
"ABW",1973,221.991177,133.24241,81.394538,313.174406,380.161823,369.474014,334.14692373968,190.988414430928,104.025983932964,607.293499846298,613.696688889136,571.964552359146,0.060243,1.79,1.79,126.549975,190.988409248376,NA,NA
"ABW",1974,233.827536,140.346876,85.734332,329.86777,400.430937,389.169992,364.515655523713,208.346390158949,113.48019762537,662.487134243975,669.472161843577,623.947461159919,0.060528,1.79,1.79,133.297688,208.346389712625,NA,NA
"ABW",1975,246.285763,147.824451,90.30244,347.457154,421.768952,409.915927,397.644943114186,227.281539050515,123.793909892429,722.697237253774,730.317247555227,680.65477569134,0.060657,1.79,1.79,140.399482,227.281558613739,NA,NA
"ABW",1976,259.42084,155.70806,95.118329,365.974078,444.258715,431.767789,433.784590275999,247.938620729936,135.045313908324,788.379509770869,796.692287504074,742.515934610138,0.060586,1.79,1.79,147.887256,247.938623881332,NA,NA
"ABW",1977,273.259629,164.014998,100.192056,385.479025,467.955967,454.784533,473.208311784386,270.472345387037,147.317639462685,860.030526827166,869.097883384538,809.999289113225,0.060366,1.79,1.79,155.777338,270.472360545671,NA,NA
"ABW",1978,287.7864,172.733608,105.519719,406.055481,492.850897,479.028257,516.218112105842,295.052161395092,160.707745773401,938.195499254454,948.088205320327,883.615900699648,0.060103,1.79,1.79,164.056775,295.052164504285,NA,NA
"ABW",1979,303.180679,181.972411,111.162522,427.658911,519.18245,504.56437,563.131899530429,321.872687660933,175.315478270512,1023.46299578511,1034.25518025586,963.923125756466,0.05998,1.79,1.79,172.832924,321.872706840518,NA,NA
