"Country","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"Australia",0.395489803867072,0.452347947573436,0.555224849041815,0.537243402019143,0.47367017619461,0.572064079658635,0.560732887315521,0.579784473953013,0.579326779862973,0.521898005983672,0.535820895522388,0.528800031950257,0.549424535704944,0.573150416462518,0.582230427508221,0.597734931771725,0.595406768972041,0.655494343334973,0.620527897556514,0.655229634596044,0.684446404233144,0.690888924100776,0.702886879890603,0.672804180144315,0.66190754425159,0.681458256896034,0.685897727272727,0.664020269238988,0.661873550067255,0.643605643071796,0.683971914097437,0.652610187036342,0.635725966899271,0.611787370938395,0.609937867270007,0.605594482109768,0.572579878990786,0.553310874039944,0.535413640559405
"Austria",0.607997042776118,NA,0.490766698856002,NA,0.483662546817827,NA,0.599495697275469,0.760021968222627,0.740218315904026,0.737089200157172,0.738081905644587,0.728157802053448,0.720428649452888,0.71673041007648,0.720524917856366,0.72306851571543,0.735773637237546,0.734342480948175,0.718288722332715,0.717389022115641,0.721129826057602,0.721413417756644,0.744652212576414,0.731701226944328,0.725928700003051,0.718381774769082,0.718640659110619,0.710468741352912,0.718127675631535,0.718694550055636,0.670510896666343,0.669276633303136,0.669905576144259,0.671578248968901,0.680071316000735,0.677732562467571,0.675064479698882,0.676028139041168,0.675606080846409
"Belgium",0.632523325892865,NA,0.589885132243486,NA,0.624709393360983,NA,0.656556371545747,NA,0.616968859081688,NA,0.66648828739555,0.668989255665355,0.66497567370488,0.656395807231877,0.661094586409267,0.661363025320376,0.663670602904002,0.658519861178658,0.615673872434377,0.604628768670258,0.606758359287678,0.597918701614308,0.602097324536753,NA,0.606659436803943,NA,0.608570707765699,NA,0.596716429480588,0.589635230497656,0.591522531778764,0.615426230187168,0.604192301318605,0.599424141238309,0.60066050811669,0.593272072928331,0.598035579721271,0.592858320939207,0.596851865980201
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703576660905877,0.735602804652542,0.726902841108383,0.545173100076169,0.405048697594543,0.702955390138873,0.579426582672406,0.590354445090064,0.624713958810069,0.687543445015988,0.595619843820215,0.647921805601269,0.629663879064172,0.719934276967619,0.681335819127588,0.652984118251367,0.591059864907357,0.658958622181291
"Canada",0.444996835963977,0.831734802701742,0.813382139021993,0.829190195522978,0.765976863430204,0.693143010866727,0.69895713020178,0.680185651658358,0.637524940728551,0.635316358025591,0.626989122614475,0.644886741948082,0.674004109589041,0.701154782824522,0.699242950788158,0.701579098040327,0.702703993282329,0.703175943367458,0.698172005661477,0.701922781988408,0.706834697994541,0.71007523238037,0.704392582113518,0.673434524740311,0.697643925732875,0.700250744301216,0.763985538144476,0.757950098536036,0.768003903383961,0.761506313472811,0.737524659834344,0.732013602682204,0.717962071188605,0.71516488889762,0.697713985332857,0.701677260419709,0.715508601587281,0.703989865578093,0.715032941677524
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795497011219153,0.812019407583901,0.832123085512226,0.836203785018728,0.848717779421433,0.755061983255876,0.777637156984299,0.77755564638536,0.783013613963899,0.773539946176033,0.775231891371508,0.771960414230275,0.755856796804268,0.759964477040657,0.759233063095443,0.758403108842947,0.763799091102583,NA,NA
"Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606589022790149,0.539353757558788,0.485113704544376,0.598099014303713,0.597409089141498,0.500419579603413,0.497172697751759,0.496579248619639,0.498703312586917,0.496150328538613,0.495251482891413,0.492841460202417,0.490399846332007,0.487866842059977,0.503933197460218,0.501038422893546,0.516935023958043
"Denmark",0.901722677107003,NA,0.821055782096087,NA,0.686591034744972,0.815332534011768,0.825204339822111,NA,0.807778209466516,0.806493677459131,0.801149959684316,NA,0.852064322359983,0.80575618412911,0.777273049991223,0.766992739735081,0.68715599176138,0.689615547636615,0.725353907083484,0.725132551547161,0.72003369417742,0.720744858908184,0.714522551196981,0.715085747886055,0.684237075623564,0.685564648318043,0.671934729404724,0.655391246290801,0.665741773504789,0.660478031926987,0.653782699472897,0.644579994311032,0.64142441373423,0.641502632138237,0.63682456484018,0.629296549715264,0.617296400328238,0.613245148988648,0.61931053497903
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345694153231799,0.267075031910202,0.250341883432533,0.275893547804146,0.249489043547818,0.257920770030524,0.275328523185934,0.30261398205026,0.285465986830286,0.488240326266085,0.491921013228463,0.488026815545197,0.497710872189907,0.491149011416101,0.537485207962039,0.522725172690683,0.516770342987857,0.51130939512279
"Finland",NA,0.483136085612239,0.650870310588157,0.581184740410777,0.50908168899039,0.614631227963411,0.577505457349155,0.538503010698469,0.503057165139013,0.478566025249906,0.449794864229031,0.464865556830789,0.540013506668918,0.504372493397242,0.742098301528567,0.721933047181943,0.72336137198214,0.717542648773755,0.740541982883179,0.732696452588794,0.752803976619365,0.734461887511897,0.710949463439183,0.745717025906275,0.742281313521605,0.735287882863788,0.708905438104121,0.713523854387578,0.684957497688531,0.677782027444381,0.668138641325268,0.687578816155201,0.673219357041577,0.661433867968465,0.657623102285873,0.652487022201899,0.64068967532816,0.626643418521996,0.628351189793449
"France",0.352443609022556,0.356125356125356,0.360923965351299,0.360576923076923,0.358508604206501,0.369822485207101,0.378902316213495,0.382756866734486,0.622819791494291,0.609695313831954,0.608372745570929,0.585323948383091,0.57614324221605,0.610812698500069,0.638170618791579,0.648191304347826,0.661183632026424,0.652170678627793,0.652209791980844,0.630395647873393,0.639976682185011,0.637802861043878,0.637625374894521,0.633571934457716,0.63865473995515,0.657968163285165,0.625350130190797,0.621261314402629,0.640481349879612,0.715984499120703,0.709483412819964,0.698361892454515,0.701155748347838,0.701526968802343,0.70197485984666,0.704547182311177,0.700735942494908,0.701462978444088,0.698960228207916
"Germany",0.77903169823934,0.764721340091443,0.755431168344497,0.746151332735228,0.704510807370027,0.703464458729009,0.701986742148264,0.702476130022246,0.704186437119463,0.702985570169838,0.704704813805631,0.701628490128622,0.700928711576194,0.700391546004886,0.699905999447056,0.698731098175669,0.698212862834377,0.697629235148288,0.697156132721749,0.697775782740433,0.698685121107266,0.699675154993083,0.699085487077535,0.689282271023032,0.688733147263352,0.705201564513978,0.708334946757018,0.707701229011598,0.711048179782735,0.712639137703598,0.711172117665846,0.715218124397667,0.714827757808674,0.713687830592313,0.714240248875752,0.713766565869929,0.713062998755898,0.712020287921079,0.716745619393611
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,0.421316101880869,NA,0.421316942881062,NA,0.432997285669531,0.440094111071868,0.432996994470011,0.460826446522111,0.456591282029798,0.433054294446239,0.365214411353308,NA,0.353715377994957,0.35446273863938,0.362369266259941,NA,0.392739643307592,0.398372633334629,0.397994145992,0.399663700599646,0.394023167977565,0.394881126012305,0.407466703703847,0.405262724879333,0.387461930981626,0.436158857345262,0.42056440055482,0.393973050576464,0.39490824046358,0.442897811744012,0.440878595163914
"Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788066571326273,0.802747980960681,0.730884735553971,0.785561543651554,0.762310537357143,0.737731280222553,0.692423977097357,0.603454253734377,0.552392105151721,0.656729328712315,0.601099126446188,0.52501925499199,0.553166237948628,0.52851990795716,0.512567426502506,0.50614118114898,0.505834215470368,0.506924758121141,0.494983177862461,0.481626670779761,0.47210935233096
"Ireland",0.467175176272115,0.448590007725985,0.456931888371048,0.738088687630279,0.778853837665056,0.748124789417041,0.704053972823653,0.680257733598839,0.826576596299192,0.846075449817417,0.796937085608424,0.870689142764204,0.723260421535216,0.722760407253847,0.748300995637489,0.704977594492791,0.63907109180204,0.619639935959401,0.650758698156682,0.635316897537379,0.647954307352477,0.646062019230769,0.660235970321835,0.651914002205072,0.624743348360293,0.558540517607128,0.605741237700252,0.581936067551267,0.547204412271631,0.504454206438727,0.527594199280496,0.578624199820552,0.57510655327095,0.570958720803742,0.599441804008523,0.628629961587708,0.607523064361475,0.612270438380496,0.642297536925469
"Italy",NA,0.197267151348663,0.16990637811818,0.140906333391099,0.201596386089238,0.192126813287025,0.124844710484472,0.125739185772344,0.110796616839286,0.12540091749806,0.112371863328304,0.102035714192156,0.12648424315151,0.137816001710338,0.144502687625419,0.204091513243613,0.176891596729214,0.157279738256602,0.306060444539204,0.286473617060057,0.281738111766748,0.339728567815898,0.33940523595696,0.336596444514057,0.344975418735446,0.519716959166448,0.502276045855402,0.496254078256802,0.499692762142807,0.493184389693509,0.604890118359287,0.632862200277876,0.626033022933532,0.625735151879873,0.621018454244989,0.651836685714812,0.623227448065964,0.733462511433936,0.731412794871921
"Japan",0.683451513904697,NA,0.670131860847744,0.66120712633238,0.658374343200638,0.665753277455405,0.675857608265933,0.673417560341387,0.666542183646794,0.645855758880516,0.649040711846397,0.650759219088937,0.652348251224831,0.538293714723567,0.539610311134781,0.540988458019565,0.538733769980196,0.53675252910084,0.534049719884631,0.534903654010067,0.573110566800075,0.574711771736884,0.575379233731986,0.576725249008969,0.567921240408175,0.561659040360579,0.565098353257776,0.553608949487545,0.586268510391096,0.562247474747475,0.575652880379249,0.595855179549716,0.563738236310857,0.566431783772639,0.563212811716593,0.558490772500689,0.557095198899285,0.557308501042826,0.563089805496308
