"Country","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"Australia",0.212614347493106,0.235874179861583,0.268001711240114,0.262692663464766,0.260826082075761,0.284480486295909,0.285340707938013,0.305089023336214,0.306322666371387,0.258385462076078,0.234370520279956,0.237115873282943,0.246271510516252,0.261527948612819,0.269659185369909,0.289839702565978,0.297588554286374,0.302468340845675,0.290111581377453,0.30082544982378,0.310258118974632,0.322171428571429,0.308793009284544,0.299127645425028,0.297676008202324,0.308767061646918,0.299982056343083,0.289128705337069,0.287092321495801,0.275927154411928,0.274314453450685,0.25991772793869,0.25259813047325,0.251608472779561,0.250044451664558,0.247011656924128,0.23537482055465,0.228341245178942,0.22462137059339
"Austria",0.516445259742089,NA,0.407575393751049,NA,0.379346204437789,NA,0.505069886406942,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.565298959089809,0.57,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
"Belgium",0.532907396754667,NA,0.56025981053173,NA,0.604570719018676,NA,0.639255230188134,NA,0.642624523283163,NA,0.674597260627903,0.691114808706424,0.687283948412451,0.699285454251031,0.71182694782602,0.698158455976862,0.691333837638868,0.691452793202748,0.650499314492846,0.638543314709577,0.641608531857886,0.629564493166832,0.630427948192412,NA,0.650293297556797,NA,0.654831896619159,NA,0.638795631937076,0.628987907148121,0.623884407780662,0.655867133166891,0.643123091046007,0.631441498875812,0.605721437886997,0.597046995797222,0.588887764341332,0.581715958353336,0.589207328501119
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67444526876644,0.71276165401677,0.704957013949743,0.505400921569437,0.34049974041188,0.659451107883333,0.529928661663075,0.5475935828877,0.586869243485791,0.657001144601297,0.557139275533229,0.580978244125298,0.566702731654745,0.674591113461353,0.635752705707225,0.60623455829715,0.536237596154104,0.599341847733458
"Canada",0.323956657426499,0.700554601226994,0.709525886794067,0.713690530714818,0.661082482285069,0.661357621243943,0.654271989135565,0.626376304544159,0.608205502967601,0.597517078286055,0.595055002450465,0.594523001200642,0.628628453257101,0.651512050495107,0.657522300440676,0.658043744255085,0.660091988485145,0.656757979542232,0.653665448764272,0.655984911297852,0.660177543795952,0.664108669291338,0.628427864774624,0.621810994496352,0.635901130491776,0.638736608172578,0.636360550576699,0.63324241094476,0.628587508042685,0.632457003006469,0.633269064428424,0.624490770349243,0.612928567362621,0.600156245049784,0.583569736910513,0.572457081383093,0.574852675297253,0.571131607683469,0.586224605780359
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652147863646546,0.665264805141248,0.680781285154302,0.683867650878978,0.693219032974108,0.608667808307792,0.61346864340093,0.614448936720124,0.618008030647758,0.604921353395748,0.606017165868639,0.577110528884124,0.574982503577352,0.575847481891592,0.57578764222219,0.575638885666538,0.574609646302496,NA,NA
"Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.55,0.488059404815993,0.501877616350653,0.505115457097919,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.475,0.475,0.491666666666667
"Denmark",0.867850993585347,NA,0.773480233749407,NA,0.638799728886939,0.789957948467253,0.801949093681185,NA,0.776001246539638,0.776346349991354,0.769880113218228,NA,0.792168067961771,0.764698947227822,0.735950307663621,0.722899565476124,0.645365965834428,0.64048935896548,0.681867598741699,0.67889440565371,0.671891097868607,0.665689311231274,0.661252176024279,0.683736633598959,0.649144654872235,0.642611911218384,0.631834888824494,0.613326287526817,0.622970925546067,0.615014531010383,0.607541127182765,0.59486079268576,0.591141548504569,0.583325394375101,0.570420302955874,0.562673725711473,0.550208389126699,0.545312210168603,0.553137037252352
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229515544461875,0.203973990225731,0.189499850838875,0.216255134801283,0.177395994395636,0.185343419925016,0.199977655324423,0.219598023144562,0.226829424052139,0.471817632174625,0.468636631866634,0.465976484211065,0.474461804497178,0.473533354741358,0.473914340720796,0.464546697267195,0.463097648972241,0.453919093956476
"Finland",0.402972064855175,0.54583966382032,0.484999624027141,0.50176980823836,0.417814828591977,0.475503198288498,0.430432349483917,0.395985131867253,0.367098776711555,0.34419716636828,0.313614483404671,0.326083015309412,0.341807274090739,0.315199852473376,0.642028900743045,0.626504166886453,0.634042569922127,0.638281115289932,0.639572372514518,0.626986916290555,0.647272099034241,0.63221599726295,0.628574766958763,0.624806811992931,0.628750267456209,0.628921166255436,0.599294051065592,0.603900361183063,0.587142087561922,0.572583131496076,0.566986228091043,0.593142505997995,0.579428310989894,0.566904664383671,0.564431062711053,0.55693922295736,0.546230039731244,0.534238494385939,0.535834070178084
