"Country","Year","tax_rev_MLN_USD","tax_rev_PC_GDP","union_density_ADM","union_density_SVY","union_density","union_density.lin_inter","union_density.cst_inter","union_coverage","union_coverage.lin_inter","union_coverage.cst_inter","labor_share"
"Australia",1970,9.473,21.105,44.1535814153581,NA,44.1535814153581,44.1535814153581,44.1535814153581,NA,87.3333333333333,88.3,0.6883788
"Australia",1971,11.04,21.856,45.3886554621849,NA,45.3886554621849,45.3886554621849,45.3886554621849,NA,86.85,88.3,0.6864541
"Australia",1972,12.698,21.413,46.3309203722854,NA,46.3309203722854,46.3309203722854,46.3309203722854,NA,86.3666666666667,88.3,0.6714143
"Australia",1973,19.316,22.504,47.2343406043626,NA,47.2343406043626,47.2343406043626,47.2343406043626,NA,85.8833333333333,88.3,0.68624
"Australia",1974,25.295,24.643,48.800238758456,NA,48.800238758456,48.800238758456,48.800238758456,85.4,85.4,85.4,0.7342425
"Australia",1975,27.802,25.381,50.0639872025595,NA,50.0639872025595,50.0639872025595,50.0639872025595,NA,85.2166666666667,85.4,0.7165413
"Australia",1976,30.092,25.561,49.468212714914,51,49.468212714914,49.468212714914,49.468212714914,NA,85.0333333333333,85.4,0.7074282
"Australia",1977,29.622,25.427,49.055930186434,NA,49.055930186434,49.055930186434,49.055930186434,NA,84.85,85.4,0.7115799
"Australia",1978,33.336,24.535,49.2297704066576,NA,49.2297704066576,49.2297704066576,49.2297704066576,NA,84.6666666666667,85.4,0.6722584
"Australia",1979,37.789,25.156,49.5873895315945,NA,49.5873895315945,49.5873895315945,49.5873895315945,NA,84.4833333333333,85.4,0.6583645
"Australia",1980,45.465,26.217,49.6365879115666,NA,49.6365879115666,49.6365879115666,49.6365879115666,84.3,84.3,84.3,0.6673988
"Australia",1981,53.287,26.389,49.0545420872303,NA,49.0545420872303,49.0545420872303,49.0545420872303,NA,84.12,84.3,0.6856067
"Australia",1982,51.521,26.864,49.3651204975382,49,49.3651204975382,49.3651204975382,49.3651204975382,NA,83.94,84.3,0.6981915
"Australia",1983,50.231,26.116,49.8134047044632,NA,49.8134047044632,49.8134047044632,49.8134047044632,NA,83.76,84.3,0.6510478
"Australia",1984,57.073,27.713,49.0926404072589,NA,49.0926404072589,49.0926404072589,49.0926404072589,NA,83.58,84.3,0.6467842
"Australia",1985,50.455,27.768,49.078262501575,NA,49.078262501575,49.078262501575,49.078262501575,83.4,83.4,83.4,0.6424625
"Australia",1986,54.499,28.539,48.6003669958387,45.6399338424183,48.6003669958387,48.6003669958387,48.6003669958387,NA,82.18,83.4,0.6335623
"Australia",1987,64.928,28.637,48.0178761448439,NA,48.0178761448439,48.0178761448439,48.0178761448439,NA,80.96,83.4,0.6150572
"Australia",1988,81.213,28.293,46.5078749706372,41.5591864828988,46.5078749706372,46.5078749706372,46.5078749706372,NA,79.74,83.4,0.6054884
"Australia",1989,89.447,28.009,45.2696516400024,NA,45.2696516400024,45.2696516400024,45.2696516400024,NA,78.52,83.4,0.6215923
"Australia",1990,90.886,28.104,45.4041057612891,40.5083467121696,45.4041057612891,45.4041057612891,45.4041057612891,77.3,77.3,77.3,0.6323749
"Australia",1991,87.734,26.668,46.4077769005785,NA,46.4077769005785,46.4077769005785,46.4077769005785,NA,75.1375,77.3,0.6307924
"Australia",1992,85.059,26.135,43.5162069580605,39.6032625038208,43.5162069580605,43.5162069580605,43.5162069580605,NA,72.975,77.3,0.6194814
"Australia",1993,84.119,26.605,41.9126764698573,37.5888801299037,41.9126764698573,41.9126764698573,41.9126764698573,NA,70.8125,77.3,0.6144636
"Australia",1994,99.367,27.507,37.5378613353782,34.9905773872009,37.5378613353782,37.5378613353782,37.5378613353782,NA,68.65,77.3,0.6188805
"Australia",1995,110.577,28.285,34.869554678183,32.7190220841037,34.869554678183,34.869554678183,34.869554678183,NA,66.4875,77.3,0.6186695
"Australia",1996,125.781,28.924,34.4260194619965,31.0713627098736,34.4260194619965,34.4260194619965,34.4260194619965,NA,64.325,77.3,0.6247563
"Australia",1997,125.058,28.666,NA,30.2679175373211,30.2679175373211,30.2679175373211,30.2679175373211,NA,62.1625,77.3,0.62189
"Australia",1998,114.627,29.448,NA,28.1234350037713,28.1234350037713,28.1234350037713,28.1234350037713,60,60,60,0.616497
"Australia",1999,127.161,29.818,NA,25.7145255734888,25.7145255734888,25.7145255734888,25.7145255734888,NA,60,60,0.6174839
"Australia",2000,124.385,30.471,NA,24.7122639056723,24.7122639056723,24.7122639056723,24.7122639056723,60,60,60,0.6089718
"Australia",2001,112.734,28.939,NA,24.4805897983025,24.4805897983025,24.4805897983025,24.4805897983025,NA,59.35,60,0.5984028
"Australia",2002,129.63,29.812,NA,23.131899415146,23.131899415146,23.131899415146,23.131899415146,58.7,58.7,58.7,0.6013654
"Australia",2003,167.359,29.991,NA,23.0326623274261,23.0326623274261,23.0326623274261,23.0326623274261,NA,59.8,58.7,0.5964251
