"Country","Year","countrycode","currency_unit","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","cor_exp","statcap","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k","i_emp","yr_sch","source","i_labsh","i_labsh2","comp_sh","lab_sh1","lab_sh2","lab_sh3","lab_sh4","i_comp_sh","i_lab_sh1","i_lab_sh2","i_lab_sh3","i_lab_sh4"
"Australia",1950,"AUS","Australian Dollar",122176.421875,114123.6328125,8.35410617339282,3.4298734664917,2170.92340600014,2.66730189323425,80784.640625,120289.359375,124238.0859375,114696.046875,488582.40625,NA,NA,NA,127476.03125,86974.3203125,117683.90625,639991.25,NA,NA,NA,0.680492460727692,0.0529014393687248,0.0211655385792255,0.893199965013041,0.0735185369849205,0.0773981213569641,0.0838371887803078,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.626875817775726,0.344429641962051,0.0774608850479126,0.102661997079849,-0.125829786062241,-0.0255985930562019,0.0699578076601028,0.0853315964341164,0.102334856987,0.146104574203491,0.0809715166687965,0.0620258748531342,NA,1,8.60393333435059,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1951,"AUS","Australian Dollar",114099.8125,110532.140625,8.59992257252082,3.52391600608826,2150.84692812436,2.67434358596802,83193.140625,131546.515625,117261.484375,110977.453125,525233.5,NA,NA,NA,130718.296875,90419.2734375,128344.3671875,690113.5625,NA,NA,NA,0.680492460727692,0.0404171943664551,0.021673645824194,0.893099948420815,0.0878304615616798,0.0898836776614189,0.0949732884764671,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.653843224048615,0.435704469680786,0.0957968011498451,0.0855804309248924,-0.19140188395977,-0.0795230567455292,0.0831931680440903,0.0934162884950638,0.119481429457664,0.129772990942001,0.0790133327245712,0.0701957195997238,NA,1,8.64270496368408,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1952,"AUS","Australian Dollar",111393.7578125,109025.1015625,8.78242978103914,3.5916748046875,2130.95611546494,2.68140339851379,79477.75,108756.09375,115164.4140625,110426.890625,536686.5625,NA,NA,NA,125367.6875,86868.125,105684.40625,704562.375,NA,NA,NA,0.680492460727692,0.0387218706309795,0.0219543129205704,0.892899974841007,0.0957591831684113,0.0958685800433159,0.0999815091490746,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.611261963844299,0.265137791633606,0.108469888567924,0.113630056381226,-0.0980485454201698,-0.000451154832262546,0.0918792113661766,0.0961655527353287,0.117624022066593,0.118688590824604,0.0803481042385101,0.0732299983501434,NA,1,8.68147563934326,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1953,"AUS","Australian Dollar",123520.65625,122817.0078125,8.95089226554582,3.65340876579285,2111.24925100894,2.6884822845459,87086.03125,125574.78125,127630.265625,124582.296875,557550.4375,NA,NA,NA,138968.328125,94520.25,121645.5234375,733107.375,NA,NA,NA,0.680492460727692,0.0457196161150932,0.0220786686986685,0.892999931828589,0.0951355323195457,0.0943911299109459,0.0967004597187042,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.605015575885773,0.308942347764969,0.0940085649490356,0.109940007328987,-0.101590670645237,-0.0163158308714628,0.0918954163789749,0.0927068218588829,0.115988098084927,0.106909699738026,0.0848359540104866,0.0703248381614685,NA,1,8.72024726867676,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1954,"AUS","Australian Dollar",131680.6875,131921.390625,9.15914813475217,3.73108339309692,2091.72463362217,2.69557976722717,93882.1640625,139427.140625,135539.734375,133412.65625,586374.9375,0.0621759593486786,0.768306076526642,0.802497088909149,150078.1875,101888.0859375,135417.75,771454.3125,0.0658793300390244,0.695179641246796,0.655688166618347,0.680492460727692,0.0453513935208321,0.0223101358860731,0.893099948420815,0.0971704423427582,0.0967693328857422,0.0983121916651726,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.61211359500885,0.341384172439575,0.0915839895606041,0.104870937764645,-0.115890324115753,-0.0340624377131462,0.0936903953552246,0.095942534506321,0.120429821312428,0.101691253483295,0.0874567404389381,0.0718917995691299,0.475970864295959,1,8.75901889801025,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1955,"AUS","Australian Dollar",136464.53125,138513.9375,9.37445431278721,3.81129145622253,2072.38057790234,2.70269584655762,95759.1640625,142906.1875,139683.75,138949.953125,615937.6875,0.065643735229969,0.747347176074982,0.768019735813141,155997.84375,104116.53125,139496.078125,810403.5,0.0700912103056908,0.701422214508057,0.655639588832855,0.680492460727692,0.0431636422872543,0.0225758161395788,0.892999931828589,0.10210657864809,0.101864196360111,0.10240214318037,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.59884786605835,0.339309334754944,0.0903151109814644,0.105125166475773,-0.10307502001524,-0.0305224806070328,0.098006047308445,0.101371899247169,0.129295751452446,0.0979798957705498,0.0925243049860001,0.0749693140387535,0.43651682138443,1,8.79779052734375,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1956,"AUS","Australian Dollar",139459.375,140626.0625,9.60031860776142,3.89543914794922,2053.2154140336,2.71145153045654,95182.96875,138030.375,142634.421875,140938.21875,637356.75,0.0663877502083778,0.736175775527954,0.723636031150818,156355.90625,104347.6796875,134899.5,838407.6875,0.0729344114661217,0.686741948127747,0.619343996047974,0.680492460727692,0.0426496453583241,0.0227802880108356,0.892999931828589,0.108680367469788,0.107079178094864,0.108367882668972,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.586829841136932,0.304015547037125,0.0885225906968117,0.114203587174416,-0.0849368274211884,-0.0086347246542573,0.10454385727644,0.10352224111557,0.136101931333542,0.111019983887672,0.0970743149518967,0.077680230140686,0.45527845621109,1,8.8453540802002,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1957,"AUS","Australian Dollar",139377.53125,141599.953125,9.81450691288212,3.94643235206604,2034.2274876424,2.72023558616638,98775.9296875,143726.3125,142660.59375,141741.0625,658734.625,0.0673011839389801,0.717116475105286,0.732133388519287,159780.625,108564.0390625,140306.484375,867267.4375,0.0758525505661964,0.68977278470993,0.633143246173859,0.680492460727692,0.0384776964783669,0.0229278858751059,0.893099948420815,0.110436022281647,0.108691334724426,0.109396450221539,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.605904996395111,0.317130267620087,0.0909708961844444,0.10094403475523,-0.0934586822986603,-0.021491464227438,0.106661558151245,0.104857474565506,0.13557556271553,0.106377251446247,0.0984850525856018,0.0793616324663162,0.430049479007721,1,8.89291858673096,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1958,"AUS","Australian Dollar",148823.796875,152881.21875,10.0193320686617,3.98142695426941,2015.41515965465,2.72904777526855,101756.21875,154219.015625,152646.90625,153543.984375,687579.125,0.0685894787311554,0.763545095920563,0.764986038208008,170618.890625,112134.984375,150140.875,905469.3125,0.0798222348093987,0.723288655281067,0.665312647819519,0.680492460727692,0.0405971705913544,0.0230945907533169,0.893099948420815,0.112823583185673,0.10999346524477,0.109350830316544,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.571585178375244,0.341679304838181,0.0911319181323051,0.101067140698433,-0.0825324356555939,-0.0229310858994722,0.109173320233822,0.104504182934761,0.135718300938606,0.0986134707927704,0.104022838175297,0.0796282067894936,0.446680933237076,1,8.9404821395874,1,1,0,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,0,0,0,0,0
"Australia",1959,"AUS","Australian Dollar",159669.5625,162855.890625,10.2380660690729,4.03041982650757,1996.77680615425,2.73788905143738,108479.2890625,165479.140625,163408.421875,163421.578125,718960.0625,0.0726653784513474,0.762464821338654,0.770329892635345,181070.375,120277.6328125,161147.171875,947253.1875,0.0841532424092293,0.751580774784088,0.6991868019104,0.680492460727692,0.0428793989121914,0.0232805125415325,0.892999931828589,0.117812588810921,0.113729901611805,0.113720752298832,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.578726708889008,0.348790198564529,0.0850735455751419,0.103447929024696,-0.0913169458508492,-0.0247214641422033,0.113320253789425,0.105959929525852,0.14837247133255,0.105700857937336,0.104736998677254,0.081598125398159,0.422967553138733,1,8.98804664611816,1,1,1,0.505448162555695,0.762679934501648,0.680492460727692,0.647761404514313,0.623480141162872,1,1,1,0,0
