"Country","Year","00-04","05-09","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80+","child","young","old","young_1564","old_65","total","dep","dep_65"
"Australia",1950,888.742,702.783,583.688,552.182,638.525,672.887,614.46,620.471,549.312,483.468,438.614,407.854,356.437,267.031,184.559,115.257,101.072,2727.395,4425.591,1024.356,5334.21,667.919,8177.342,0.231461967452483,0.125214230410876
"Australia",1951,926.831,747.222,610.138,558.008,636.346,689.828,632.944,631.833,570.502,496.442,444.812,411.163,363.534,277.016,190.758,119.559,105.668,2842.199,4513.87,1056.535,5435.412,693.001,8412.604,0.234064117929847,0.127497418778926
"Australia",1952,944.591,795.36,637.957,567.819,627.745,700.969,657.215,635.999,593.127,510.039,451.35,413.518,368.659,287.312,196.764,123.552,108.994,2945.727,4589.962,1085.281,5526.44,716.622,8620.97,0.23644661981951,0.129671542620566
"Australia",1953,959.13,845.793,667.153,580.923,614.898,705.908,684.143,635.978,614.899,524.385,458.174,415.258,372.116,297.105,202.94,126.996,111.103,3052.999,4653.643,1110.26,5606.682,738.144,8816.902,0.238578679112257,0.131654336736059
"Australia",1954,975.648,895.502,699.689,596.32,602.675,705.446,708.692,638.305,632.963,540.199,465.937,417.346,374.77,305.695,209.782,130.183,112.038,3167.159,4711.563,1132.468,5682.653,757.698,9011.19,0.240359303271547,0.133335257317313
"Australia",1955,993.481,940.095,738.07,613.986,595.093,700.597,727.788,647.872,646.01,558.11,475.58,420.701,377.442,313.025,217.583,133.721,111.754,3285.632,4771.751,1153.525,5763.179,776.083,9210.908,0.24174040095554,0.134662310506059
"Australia",1956,995.525,978.308,784.325,642.23,600.075,691.593,740.627,663.64,652.659,577.104,487.318,425.377,379.417,318.821,225.315,139.124,117.81,3400.388,4838.393,1180.487,5860.04,801.07,9419.268,0.243983281225812,0.136700432078962
"Australia",1957,1015.825,1003.927,834.88,670.234,611.68,678.738,747.835,686.425,652.507,597.81,500.101,430.898,381.204,323.262,233.679,144.12,122.703,3524.866,4905.994,1204.968,5957.432,823.764,9635.828,0.245611388843933,0.138275015140752
"Australia",1958,1045.028,1017.269,888.734,698.95,628.914,665.895,750.019,713.24,649.884,618.553,514.37,437.709,383.602,326.818,242.613,148.683,126.668,3649.981,4978.584,1228.384,6061.136,844.782,9856.949,0.246733609395764,0.139376842888858
"Australia",1959,1073.489,1023.64,939.743,731.039,649.237,657.539,748.251,738.166,651.353,636.084,530.429,446.219,387.151,330.102,251.28,153.335,129.684,3767.911,5057.278,1251.552,6175.468,864.401,10076.741,0.247475420572094,0.13997335910412
"Australia",1960,1094.209,1031.755,980.56,768.552,670.415,655.808,743.468,756.912,660.697,648.182,548.115,456.526,391.895,333.532,258.86,158.77,131.451,3875.076,5140.123,1274.508,6300.57,882.613,10289.707,0.247952821362446,0.140084627263882
"Australia",1961,1121.671,1044.885,1009.183,815.792,692.447,655.876,731.916,766.637,674.447,651.734,565.331,466.324,395.173,334.747,262.531,166.026,138.835,3991.531,5204.712,1297.312,6415.677,902.139,10493.555,0.249257211542156,0.14061477845596
"Australia",1962,1136.664,1062.134,1027.144,869.361,716.039,663.809,717.269,771.34,696.08,649.393,584.635,477.929,399.604,336.545,265.252,173.562,144.929,4095.303,5276.494,1319.892,6545.459,920.288,10691.689,0.250145645953544,0.140599459869812
"Australia",1963,1143.154,1084.444,1038.401,924.381,742.955,678.96,702.792,771.865,722.163,645.702,604.054,491.704,405.667,339.328,268.04,180.454,150.206,4190.38,5360.195,1343.695,6690.243,938.028,10894.27,0.250680245774641,0.140208360144766
"Australia",1964,1149.863,1110,1049.982,973.826,776.296,699.134,693.168,769.65,746.909,647.398,620.666,507.969,414.062,343.533,271.625,186.134,154.996,4283.671,5461.19,1370.35,6849.078,956.288,11115.211,0.250925164661914,0.139622880627144
"Australia",1965,1163.443,1134.722,1067.383,1013.993,817.592,722.638,691.615,765.889,766.715,658.402,633.091,526.694,425.306,349.459,276.244,190.954,159.173,4379.541,5582.636,1401.136,7021.935,975.83,11363.313,0.250981077756099,0.138968816999873
"Australia",1966,1178.747,1167.561,1088.645,1058.166,873.011,749.877,696.915,761.613,783.257,675.725,638.082,544.586,435.95,352.649,276.894,193.164,168.609,4493.119,5723.066,1427.266,7217.182,991.316,11643.451,0.249388352327232,0.137354995343058
"Australia",1967,1195.334,1199.179,1119.471,1086.437,941.499,780.344,711.777,753.838,797.047,703.247,638.852,565.105,449.523,357.869,278.618,195.098,176.119,4600.421,5891.709,1457.227,7427.669,1007.704,11949.357,0.247335195950784,0.135668942705982
"Australia",1968,1213.387,1225.26,1160.663,1098.785,1016.831,814.797,734.532,743.996,806.901,736.374,638.66,585.277,465.26,364.935,281.53,196.805,181.094,4698.095,6077.368,1489.624,7641.413,1024.364,12265.087,0.24511005422084,0.134054264571225
"Australia",1969,1230.294,1244.221,1205.015,1104.315,1085.554,856.07,761.039,736.017,811.591,767.496,642.935,601.196,482.068,373.755,285.472,198.284,182.978,4783.845,6261.898,1522.557,7848.281,1040.489,12568.3,0.243146247351841,0.132575400906262
"Australia",1970,1242.501,1257.327,1243.195,1114.111,1135.724,906.124,788.149,733.519,810.271,791.449,654.927,610.988,498.882,384.21,290.243,199.74,181.547,4857.134,6431.151,1554.622,8044.144,1055.74,12842.907,0.241733089457859,0.131243299473505
"Australia",1971,1252.566,1264.263,1259.756,1140.912,1156.491,958.373,814.113,738.966,798.138,803.833,674.311,617.91,515.519,396.404,295.429,205.663,191.51,4917.497,6562.135,1604.525,8218.566,1089.006,13084.157,0.244512647179615,0.13250559769186
"Australia",1972,1266.933,1265.631,1268.246,1171.888,1159.08,1016.945,837.411,752.122,780.626,808.625,698.46,618.476,532.797,408.686,301.038,210.072,199.836,4972.698,6671.745,1652.429,8376.43,1119.632,13296.872,0.247675683048438,0.133664580256744
"Australia",1973,1279.122,1261.62,1274.32,1200.376,1154.045,1074.896,861.33,771.096,762.835,807.328,723.74,616.959,549.736,420.952,308.392,212.911,206.78,5015.438,6772.229,1698.771,8522.341,1149.035,13486.438,0.250843703011224,0.134826217350374
"Australia",1974,1281.311,1254.759,1281.112,1221.286,1154.433,1122.849,891.409,792.743,751.257,802.093,745.183,619.717,564.357,434,318.053,215.314,212.172,5038.468,6879.684,1743.896,8665.327,1179.539,13662.048,0.253484898434289,0.136121695118949
"Australia",1975,1271.014,1247.87,1287.32,1235.428,1165.029,1156.535,930.431,815.165,749.307,794.642,760.271,630.002,575.42,448.725,329.557,218.916,215.574,5041.632,7001.382,1788.192,8812.23,1212.772,13831.206,0.255405575642066,0.137623734287462
"Australia",1976,1276.436,1247.177,1286.064,1253.986,1179.129,1177.883,973.639,829.441,748.669,781.628,769.372,643.359,579.291,461.954,337.122,223.669,225.804,5063.663,7103.12,1827.84,8936.397,1248.549,13994.623,0.257329173658899,0.139715032803489
"Australia",1977,1247.8,1256.001,1281.58,1272.811,1200.532,1188.231,1029.026,845.862,756.377,766.401,775.206,664.399,579.527,478.86,345.681,229.943,233.828,5058.192,7226.034,1867.839,9078.372,1288.312,14152.065,0.258487435846552,0.14191002527766
