"ï..LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"AUS","TAXREV","TOT","PC_GDP","A",1965,20.639,NA
"AUS","TAXREV","TOT","PC_GDP","A",1966,19.86,NA
"AUS","TAXREV","TOT","PC_GDP","A",1967,20.439,NA
"AUS","TAXREV","TOT","PC_GDP","A",1968,20.371,NA
"AUS","TAXREV","TOT","PC_GDP","A",1969,20.713,NA
"AUS","TAXREV","TOT","PC_GDP","A",1970,21.105,NA
"AUS","TAXREV","TOT","PC_GDP","A",1971,21.856,NA
"AUS","TAXREV","TOT","PC_GDP","A",1972,21.413,NA
"AUS","TAXREV","TOT","PC_GDP","A",1973,22.504,NA
"AUS","TAXREV","TOT","PC_GDP","A",1974,24.643,NA
"AUS","TAXREV","TOT","PC_GDP","A",1975,25.381,NA
"AUS","TAXREV","TOT","PC_GDP","A",1976,25.561,NA
"AUS","TAXREV","TOT","PC_GDP","A",1977,25.427,NA
"AUS","TAXREV","TOT","PC_GDP","A",1978,24.535,NA
"AUS","TAXREV","TOT","PC_GDP","A",1979,25.156,NA
"AUS","TAXREV","TOT","PC_GDP","A",1980,26.217,NA
"AUS","TAXREV","TOT","PC_GDP","A",1981,26.389,NA
"AUS","TAXREV","TOT","PC_GDP","A",1982,26.864,NA
"AUS","TAXREV","TOT","PC_GDP","A",1983,26.116,NA
"AUS","TAXREV","TOT","PC_GDP","A",1984,27.713,NA
"AUS","TAXREV","TOT","PC_GDP","A",1985,27.768,NA
"AUS","TAXREV","TOT","PC_GDP","A",1986,28.539,NA
"AUS","TAXREV","TOT","PC_GDP","A",1987,28.637,NA
"AUS","TAXREV","TOT","PC_GDP","A",1988,28.293,NA
"AUS","TAXREV","TOT","PC_GDP","A",1989,28.009,NA
"AUS","TAXREV","TOT","PC_GDP","A",1990,28.104,NA
"AUS","TAXREV","TOT","PC_GDP","A",1991,26.668,NA
"AUS","TAXREV","TOT","PC_GDP","A",1992,26.135,NA
"AUS","TAXREV","TOT","PC_GDP","A",1993,26.605,NA
"AUS","TAXREV","TOT","PC_GDP","A",1994,27.507,NA
"AUS","TAXREV","TOT","PC_GDP","A",1995,28.285,NA
"AUS","TAXREV","TOT","PC_GDP","A",1996,28.924,NA
"AUS","TAXREV","TOT","PC_GDP","A",1997,28.666,NA
"AUS","TAXREV","TOT","PC_GDP","A",1998,29.448,NA
"AUS","TAXREV","TOT","PC_GDP","A",1999,29.818,NA
"AUS","TAXREV","TOT","PC_GDP","A",2000,30.471,NA
"AUS","TAXREV","TOT","PC_GDP","A",2001,28.939,NA
"AUS","TAXREV","TOT","PC_GDP","A",2002,29.812,NA
"AUS","TAXREV","TOT","PC_GDP","A",2003,29.991,NA
"AUS","TAXREV","TOT","PC_GDP","A",2004,30.304,NA
"AUS","TAXREV","TOT","PC_GDP","A",2005,29.996,NA
"AUS","TAXREV","TOT","PC_GDP","A",2006,29.429,NA
"AUS","TAXREV","TOT","PC_GDP","A",2007,29.56,NA
"AUS","TAXREV","TOT","PC_GDP","A",2008,26.866,NA
"AUS","TAXREV","TOT","PC_GDP","A",2009,25.574,NA
"AUS","TAXREV","TOT","PC_GDP","A",2010,25.311,NA
"AUS","TAXREV","TOT","PC_GDP","A",2011,25.934,NA
"AUS","TAXREV","TOT","PC_GDP","A",2012,26.952,NA
"AUS","TAXREV","TOT","PC_GDP","A",2013,27.156,NA
"AUS","TAXREV","TOT","PC_GDP","A",2014,27.325,NA
"AUS","TAXREV","TOT","PC_GDP","A",2015,27.919,NA
"AUS","TAXREV","TOT","PC_GDP","A",2016,27.758,NA
"AUT","TAXREV","TOT","PC_GDP","A",1965,33.509,NA
"AUT","TAXREV","TOT","PC_GDP","A",1966,34.201,NA
"AUT","TAXREV","TOT","PC_GDP","A",1967,34.101,NA
"AUT","TAXREV","TOT","PC_GDP","A",1968,34.149,NA
"AUT","TAXREV","TOT","PC_GDP","A",1969,34.6,NA
"AUT","TAXREV","TOT","PC_GDP","A",1970,33.586,NA
"AUT","TAXREV","TOT","PC_GDP","A",1971,34.26,NA
"AUT","TAXREV","TOT","PC_GDP","A",1972,34.678,NA
"AUT","TAXREV","TOT","PC_GDP","A",1973,34.849,NA
"AUT","TAXREV","TOT","PC_GDP","A",1974,35.825,NA
"AUT","TAXREV","TOT","PC_GDP","A",1975,36.335,NA
"AUT","TAXREV","TOT","PC_GDP","A",1976,36.205,NA
"AUT","TAXREV","TOT","PC_GDP","A",1977,36.549,NA
"AUT","TAXREV","TOT","PC_GDP","A",1978,38.69,NA
"AUT","TAXREV","TOT","PC_GDP","A",1979,38.095,NA
"AUT","TAXREV","TOT","PC_GDP","A",1980,38.573,NA
"AUT","TAXREV","TOT","PC_GDP","A",1981,39.647,NA
"AUT","TAXREV","TOT","PC_GDP","A",1982,38.423,NA
"AUT","TAXREV","TOT","PC_GDP","A",1983,38.114,NA
"AUT","TAXREV","TOT","PC_GDP","A",1984,39.774,NA
"AUT","TAXREV","TOT","PC_GDP","A",1985,40.436,NA
"AUT","TAXREV","TOT","PC_GDP","A",1986,40.34,NA
"AUT","TAXREV","TOT","PC_GDP","A",1987,39.959,NA
"AUT","TAXREV","TOT","PC_GDP","A",1988,39.96,NA
"AUT","TAXREV","TOT","PC_GDP","A",1989,38.945,NA
"AUT","TAXREV","TOT","PC_GDP","A",1990,39.288,NA
"AUT","TAXREV","TOT","PC_GDP","A",1991,39.748,NA
"AUT","TAXREV","TOT","PC_GDP","A",1992,41.282,NA
"AUT","TAXREV","TOT","PC_GDP","A",1993,41.688,NA
"AUT","TAXREV","TOT","PC_GDP","A",1994,41.421,NA
"AUT","TAXREV","TOT","PC_GDP","A",1995,41.271,NA
"AUT","TAXREV","TOT","PC_GDP","A",1996,42.641,NA
"AUT","TAXREV","TOT","PC_GDP","A",1997,43.44,NA
"AUT","TAXREV","TOT","PC_GDP","A",1998,43.447,NA
"AUT","TAXREV","TOT","PC_GDP","A",1999,43.09,NA
"AUT","TAXREV","TOT","PC_GDP","A",2000,42.285,NA
"AUT","TAXREV","TOT","PC_GDP","A",2001,43.886,NA
"AUT","TAXREV","TOT","PC_GDP","A",2002,42.697,NA
"AUT","TAXREV","TOT","PC_GDP","A",2003,42.409,NA
"AUT","TAXREV","TOT","PC_GDP","A",2004,41.958,NA
"AUT","TAXREV","TOT","PC_GDP","A",2005,41.012,NA
"AUT","TAXREV","TOT","PC_GDP","A",2006,40.408,NA
"AUT","TAXREV","TOT","PC_GDP","A",2007,40.548,NA
"AUT","TAXREV","TOT","PC_GDP","A",2008,41.391,NA
"AUT","TAXREV","TOT","PC_GDP","A",2009,40.98,NA
"AUT","TAXREV","TOT","PC_GDP","A",2010,40.958,NA
"AUT","TAXREV","TOT","PC_GDP","A",2011,41.119,NA
"AUT","TAXREV","TOT","PC_GDP","A",2012,41.767,NA
"AUT","TAXREV","TOT","PC_GDP","A",2013,42.635,NA
"AUT","TAXREV","TOT","PC_GDP","A",2014,42.71,NA
"AUT","TAXREV","TOT","PC_GDP","A",2015,43.098,NA
"AUT","TAXREV","TOT","PC_GDP","A",2016,42.233,NA
"AUT","TAXREV","TOT","PC_GDP","A",2017,41.774,NA
"BEL","TAXREV","TOT","PC_GDP","A",1965,30.625,NA
"BEL","TAXREV","TOT","PC_GDP","A",1966,32.723,NA
"BEL","TAXREV","TOT","PC_GDP","A",1967,33.383,NA
"BEL","TAXREV","TOT","PC_GDP","A",1968,34.198,NA
"BEL","TAXREV","TOT","PC_GDP","A",1969,34.374,NA
"BEL","TAXREV","TOT","PC_GDP","A",1970,33.247,NA
"BEL","TAXREV","TOT","PC_GDP","A",1971,34.375,NA
"BEL","TAXREV","TOT","PC_GDP","A",1972,34.224,NA
"BEL","TAXREV","TOT","PC_GDP","A",1973,35.331,NA
"BEL","TAXREV","TOT","PC_GDP","A",1974,36.212,NA
"BEL","TAXREV","TOT","PC_GDP","A",1975,38.734,NA
"BEL","TAXREV","TOT","PC_GDP","A",1976,38.933,NA
"BEL","TAXREV","TOT","PC_GDP","A",1977,40.846,NA
"BEL","TAXREV","TOT","PC_GDP","A",1978,41.42,NA
"BEL","TAXREV","TOT","PC_GDP","A",1979,42.172,NA
"BEL","TAXREV","TOT","PC_GDP","A",1980,40.509,NA
"BEL","TAXREV","TOT","PC_GDP","A",1981,40.772,NA
"BEL","TAXREV","TOT","PC_GDP","A",1982,41.984,NA
"BEL","TAXREV","TOT","PC_GDP","A",1983,42.682,NA
"BEL","TAXREV","TOT","PC_GDP","A",1984,43.395,NA
"BEL","TAXREV","TOT","PC_GDP","A",1985,43.481,NA
"BEL","TAXREV","TOT","PC_GDP","A",1986,43.23,NA
"BEL","TAXREV","TOT","PC_GDP","A",1987,43.858,NA
"BEL","TAXREV","TOT","PC_GDP","A",1988,42.547,NA
"BEL","TAXREV","TOT","PC_GDP","A",1989,40.739,NA
"BEL","TAXREV","TOT","PC_GDP","A",1990,41.172,NA
"BEL","TAXREV","TOT","PC_GDP","A",1991,41.387,NA
"BEL","TAXREV","TOT","PC_GDP","A",1992,40.961,NA
"BEL","TAXREV","TOT","PC_GDP","A",1993,42.405,NA
"BEL","TAXREV","TOT","PC_GDP","A",1994,42.684,NA
"BEL","TAXREV","TOT","PC_GDP","A",1995,42.609,NA
"BEL","TAXREV","TOT","PC_GDP","A",1996,43.02,NA
"BEL","TAXREV","TOT","PC_GDP","A",1997,43.451,NA
"BEL","TAXREV","TOT","PC_GDP","A",1998,44.084,NA
"BEL","TAXREV","TOT","PC_GDP","A",1999,43.893,NA
"BEL","TAXREV","TOT","PC_GDP","A",2000,43.537,NA
"BEL","TAXREV","TOT","PC_GDP","A",2001,43.454,NA
"BEL","TAXREV","TOT","PC_GDP","A",2002,43.627,NA
"BEL","TAXREV","TOT","PC_GDP","A",2003,43.142,NA
"BEL","TAXREV","TOT","PC_GDP","A",2004,43.215,NA
"BEL","TAXREV","TOT","PC_GDP","A",2005,43.151,NA
"BEL","TAXREV","TOT","PC_GDP","A",2006,42.96,NA
"BEL","TAXREV","TOT","PC_GDP","A",2007,42.72,NA
"BEL","TAXREV","TOT","PC_GDP","A",2008,43.25,NA
"BEL","TAXREV","TOT","PC_GDP","A",2009,42.37,NA
"BEL","TAXREV","TOT","PC_GDP","A",2010,42.621,NA
"BEL","TAXREV","TOT","PC_GDP","A",2011,43.141,NA
"BEL","TAXREV","TOT","PC_GDP","A",2012,44.172,NA
"BEL","TAXREV","TOT","PC_GDP","A",2013,45.106,NA
"BEL","TAXREV","TOT","PC_GDP","A",2014,45.073,NA
"BEL","TAXREV","TOT","PC_GDP","A",2015,44.813,NA
"BEL","TAXREV","TOT","PC_GDP","A",2016,44.081,NA
"BEL","TAXREV","TOT","PC_GDP","A",2017,44.598,NA
"CAN","TAXREV","TOT","PC_GDP","A",1965,25.055,NA
"CAN","TAXREV","TOT","PC_GDP","A",1966,26.079,NA
"CAN","TAXREV","TOT","PC_GDP","A",1967,27.076,NA
"CAN","TAXREV","TOT","PC_GDP","A",1968,27.873,NA
"CAN","TAXREV","TOT","PC_GDP","A",1969,30.007,NA
"CAN","TAXREV","TOT","PC_GDP","A",1970,30.042,NA
"CAN","TAXREV","TOT","PC_GDP","A",1971,29.578,NA
"CAN","TAXREV","TOT","PC_GDP","A",1972,30.097,NA
"CAN","TAXREV","TOT","PC_GDP","A",1973,29.68,NA
"CAN","TAXREV","TOT","PC_GDP","A",1974,32.192,NA
"CAN","TAXREV","TOT","PC_GDP","A",1975,31.278,NA
"CAN","TAXREV","TOT","PC_GDP","A",1976,30.706,NA
