"Country","Year","US100","UC1000","US100.lin_inter","US100.cst_inter","UC1000.lin_inter","UC1000.cst_inter"
"Australia",1970,NA,NA,NA,NA,NA,NA
"Australia",1971,0.149,0.255,0.149,0.149,0.255,0.255
"Australia",1972,0.233,0.336,0.233,0.233,0.336,0.336
"Australia",1973,0.268,0.575,0.268,0.268,0.575,0.575
"Australia",1974,0.266,0.518,0.266,0.266,0.518,0.518
"Australia",1975,0.261,0.505,0.261,0.261,0.505,0.505
"Australia",1976,0.289,0.627,0.289,0.289,0.627,0.627
"Australia",1977,0.309,0.642,0.309,0.309,0.642,0.642
"Australia",1978,0.305,0.625,0.305,0.305,0.625,0.625
"Australia",1979,0.296,0.616,0.296,0.296,0.616,0.616
"Australia",1980,0.25,0.536,0.25,0.25,0.536,0.536
"Australia",1981,0.234,0.536,0.234,0.234,0.536,0.536
"Australia",1982,0.224,0.506,0.224,0.224,0.506,0.506
"Australia",1983,0.246,0.535,0.246,0.246,0.535,0.535
"Australia",1984,0.262,0.58,0.262,0.262,0.58,0.58
"Australia",1985,0.261,0.588,0.261,0.261,0.588,0.588
"Australia",1986,0.29,0.626,0.29,0.29,0.626,0.626
"Australia",1987,0.298,0.641,0.298,0.298,0.641,0.641
"Australia",1988,0.302,0.67,0.302,0.302,0.67,0.67
"Australia",1989,0.29,0.641,0.29,0.29,0.641,0.641
"Australia",1990,0.301,0.661,0.301,0.301,0.661,0.661
"Australia",1991,0.31,0.695,0.31,0.31,0.695,0.695
"Australia",1992,0.322,0.721,0.322,0.322,0.721,0.721
"Australia",1993,0.309,0.7,0.309,0.309,0.7,0.7
"Australia",1994,0.299,0.682,0.299,0.299,0.682,0.682
"Australia",1995,0.297,0.675,0.297,0.297,0.675,0.675
"Australia",1996,0.309,0.694,0.309,0.309,0.694,0.694
"Australia",1997,0.3,0.679,0.3,0.3,0.679,0.679
"Australia",1998,0.289,0.656,0.289,0.289,0.656,0.656
"Australia",1999,0.287,0.654,0.287,0.287,0.654,0.654
"Australia",2000,0.275,0.651,0.275,0.275,0.651,0.651
"Australia",2001,0.274,0.665,0.274,0.274,0.665,0.665
"Australia",2002,0.26,0.637,0.26,0.26,0.637,0.637
"Australia",2003,0.256,0.628,0.256,0.256,0.628,0.628
"Australia",2004,0.26,0.561,0.26,0.26,0.561,0.561
"Australia",2005,0.254,0.608,0.254,0.254,0.608,0.608
"Australia",2006,0.251,0.6,0.251,0.251,0.6,0.6
"Australia",2007,0.247,0.537,0.247,0.247,0.537,0.537
"Australia",2008,0.239,0.524,0.239,0.239,0.524,0.524
"Australia",2009,0.234,0.515,0.234,0.234,0.515,0.515
"Australia",2010,0.228,0.501,0.228,0.228,0.501,0.501
"Australia",2011,0.224,0.533,0.224,0.224,0.533,0.533
