"Specification","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","alpha","gamma","phi","sigma","a","omega","beta","A"
"baseline","France",1970,1,1,1.48550559563973,0.546489342702738,1.13420764298084,0.417253486705376,0.583439336814264,3.85195576187044,1,1,0.673171479754239,0.258214929071718,0.999992439068477,0.129589494148339,1.00000756098869,15.4707014789153,5.72929852117286,21.2001169738871,0.326823430403815,0.729751560888563,0.337489040961866,9.00374259298388,5.09343475690259,4.10456630219571,1,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",1980,2,1,1.61880130424307,0.516253298645703,1.39082300545825,0.443548545777756,0.612781620210724,4.50617601897415,1,1,1.0846812208965,0.142006477384918,2.51334230345226,0.157469160715935,0.698624844162048,18.9056851073857,3.5476297203592,19.4372053588255,0.568430762731122,0.679520593011944,0.499906570497226,8.07710225531107,4.42501251995665,4.08138180307041,1.75588337507522,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",1990,3,1,1.76238219028369,0.628505945581033,1.36164150128402,0.485592616644142,0.666510958052407,4.13238563290541,1,1,1.42757947459685,0.197538905186978,3.25859537285395,0.166071810784294,0.772093602723225,20.1314651025236,3.11910979950425,23.3908705281796,0.561903424251614,0.664506068740742,0.491845347553425,8.66457405042024,4.65271978231253,5.08172411441341,2.51594064124403,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",2000,4,1,1.81959142137297,0.693625743497129,1.37651312106404,0.52472490572151,0.683436019881079,3.89624668877312,1,1,1.77778716183384,0.247204344925305,4.07459937511457,0.173737867796059,0.793905356304851,21.2992734522588,2.79852010919857,25.9623896122724,0.563690316969173,0.651311667827247,0.490565338224206,9.12010593484561,4.87565939361777,5.63771944085016,3.23484626869985,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",2010,1,2,1.97324079979518,0.866702399553922,1.32832942910956,0.583439336814264,0.685327857682168,3.38442488829326,1,1,2.08011424790211,0.422844112111621,4.09590413670971,0.173919654313465,1.00211483599149,21.3278752075282,2.79151886206131,32.8309544187996,0.492147721608278,0.651000878408837,0.440116079852365,10.0349044026037,5.42778553443317,6.82497201774213,4.10456630219571,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",2020,2,2,1.83717278352147,0.991971686013303,1.13489702454898,0.612781620210724,0.707316362457828,2.78088965363428,1,1,2.2215557729128,0.89395388184744,3.29122529909864,0.16640843364484,1.24007973692599,20.181209043754,3.10392019565548,37.694591806558,0.325006472962755,0.66392305109066,0.340855489647914,11.2630900390816,6.17285340713441,7.45846418337091,4.08138180307041,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",2030,3,2,1.85812632086635,1.17464704210048,1.05432654228493,0.666510958052407,0.742598301973306,2.41325835201202,1,1,2.73486471686385,1.53473704274109,3.52372519037749,0.168727543774365,1.44214541142155,20.5276841484982,3.00217704321181,44.8601409780953,0.223871167839036,0.659915569956027,0.290872117752114,12.2966575159181,6.75384958035376,8.66523429144199,5.08172411441341,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",2040,4,2,1.81585672907761,1.24357431883289,0.997947510495219,0.683436019881079,0.773731138264388,2.25864077428431,1,1,3.10471600020665,1.97534608501995,3.79240629836014,0.171249418232461,1.48658107737242,20.9120532235669,2.89702816472628,47.4200946161272,0.181333497534495,0.655575718749975,0.272687239749536,12.8157847718501,7.004751300143,9.15089935028417,5.63771944085016,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",2050,1,3,1.92115195712475,1.35231689001468,0.973602389188466,0.685327857682168,0.800578416558011,2.22346374722951,1,1,3.55254148035046,2.09713979752919,4.49014368934716,0.177144556421255,1.51998966846748,21.8425252515257,2.671505793855,51.4333650038553,0.208813408626801,0.645503414234522,0.287070029605499,13.0441809643466,7.04875033021798,10.0803958892474,6.82497201774213,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",2060,2,3,1.84621643783986,1.29946237044693,1.00492259323647,0.707316362457828,0.819853976974278,2.2423192561518,1,1,4.03986446578148,2.03071369907382,5.48719531171398,0.184322647111477,1.35924889851263,23.0390670983758,2.4303936886481,49.4428308544985,0.263765141153762,0.633374465721489,0.31392505579797,13.1457733441131,7.01811667985065,9.87733126814301,7.45846418337091,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
