"Specification","break_year","PG","SR","DE","IE","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","alpha","gamma","phi","sigma","a","omega","beta","A"
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",1970,1,1,1.48550559563973,0.546489342702738,1.13420764298084,0.417253486705376,0.583439336814264,3.84625995412632,1,1,0.673171479754239,0.00361584874456317,1.006,0.150445505257571,0.99403578528827,14.8020606950988,5.4510062212543,20.1647842481915,0.330843459488828,0.729676938063784,0.337671927463878,8.43446792030892,4.87437724145944,3.89956054976455,1,0.66897175856968,0.5,0.270248830318451,1.06714019830336,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",1980,2,1,1.61880130424307,0.516253298645703,1.39082300545825,0.443548545777756,0.612781620210724,4.49951282919422,1,1,1.0846812208965,0.000298804980696026,2.025,0.156087670440845,0.867102901271711,17.7227238859902,3.38823485392803,21.3167705508422,0.464354952643706,0.720907759612416,0.425657632477279,8.7078975627086,4.89669199255126,4.46932287881008,1.75588337507522,0.66897175856968,0.5,0.270248830318451,1.06714019830336,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",1990,3,1,1.76238219028369,0.628505945581033,1.36164150128402,0.485592616644142,0.666510958052407,4.12627515927989,1,1,1.42757947459685,0.211248468284745,3.314,0.166652309732753,0.759185468088121,19.2626718335106,2.98447100712421,22.1326924319899,0.56922767815424,0.660739337407256,0.497451742282134,8.19441810109284,4.43803762236959,4.80140270678049,2.51594064124403,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",2000,4,1,1.81959142137297,0.693625743497129,1.37651312106404,0.52472490572151,0.683436019881079,3.89048538894652,1,1,1.77778716183384,0.262115693178332,4.161,0.174760141295175,0.777420396226833,20.3989825429854,2.6783783016387,24.5227271464145,0.572750021188694,0.646689293425941,0.497224437841499,8.61162880078375,4.64012363208805,5.31750196384154,3.23484626869985,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",2010,1,2,1.97324079979518,0.866702399553922,1.32832942910956,0.583439336814264,0.685327857682168,3.37942040883403,1,1,1.97622132593717,0.43929079107663,3.882,0.172259429485065,1.00452358314388,20.0405986143014,2.76755136732951,30.9234880598715,0.490927015472135,0.651002043799519,0.44018983213541,9.44365586084323,5.15052571665308,6.41832205673054,3.89956054976455,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",2020,2,2,1.83717278352147,0.991971686013303,1.13489702454898,0.612781620210724,0.707316362457828,2.77677760931085,1,1,2.43271777096727,0.902657274403288,3.828,0.171757714313999,1.16753471233283,19.9695597033811,2.78597957312337,35.7665963897582,0.364493790238436,0.651869523441059,0.363900609772683,10.6979371274997,5.89910007964855,7.06449895421914,4.46932287881008,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",2030,3,2,1.85812632086635,1.17464704210048,1.05432654228493,0.666510958052407,0.742598301973306,2.40968991653152,1,1,2.58400231074809,1.51815457912339,3.306,0.166567646241335,1.45232991735647,19.251190680596,2.98793963603854,42.3053816263359,0.218390105641835,0.660887080918298,0.289205234954002,11.5841028996085,6.41396970194662,8.15604495118459,4.80140270678049,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",2040,4,2,1.81585672907761,1.24357431883289,0.997947510495219,0.683436019881079,0.773731138264388,2.25530096863527,1,1,2.92837087788454,1.93533904348887,3.553,0.169104614588101,1.49662312520167,19.5986146260858,2.88656617558064,44.6810611787243,0.175803299216286,0.656469186217146,0.271225732291732,12.0608301677463,6.64892409916113,8.60389842291701,5.31750196384154,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",2050,1,3,1.92115195712475,1.35231689001468,0.973602389188466,0.685327857682168,0.800578416558011,2.22017595712673,1,1,3.34087162284466,2.04999656090594,4.201,0.175106792816333,1.52780815442289,20.4492337459612,2.66635921447716,48.3560582262247,0.204743722245975,0.646092903656807,0.286316863807379,12.2499568844178,6.67499635641684,9.4572391146163,6.41832205673054,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","France",2060,2,3,1.84621643783986,1.29946237044693,1.00492259323647,0.707316362457828,0.819853976974278,2.23900358479586,1,1,3.8264738680828,1.98749489760434,5.207,0.183008377696092,1.3567311223774,21.6337057823958,2.41304455135676,46.3980726368764,0.265128890324025,0.632593559586882,0.315792900130158,12.3264769206698,6.63239865224415,9.25015746642619,7.06449895421914,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
