"Specification","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","Y","u","theta","tau","b","h","S","K","phi","sigma","a","alpha","gamma","omega","beta","A"
".cst","France",1970,1,1,1.16751885800966,0.42950805111709,1.13420764298084,0.417253486705376,0.583439336814264,3.09766308785519,1,1,0.856517214381237,0.59256971646793,1.00002085974391,0.129590290654779,0.999979140691209,18.8108741219831,25.7766076189839,0.143500651975823,0.729750090399701,0.337492645828885,10.947610378383,15.9839982972645,4.01342797523006,1,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",1980,2,1,1.34186891238396,0.427936554382909,1.39082300545825,0.443548545777756,0.612781620210724,3.62377347619808,1,1,1.30853569888263,0.32588641695932,2.34516084036829,0.155230383319588,0.748726204552974,22.6163265675519,24.7758761323428,0.442027311577857,0.683464684009645,0.483061464311249,10.0102581140391,14.0926484042286,4.27137705361633,1.75588337507522,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",1990,3,1,1.42926663692941,0.509709292390284,1.36164150128402,0.485592616644142,0.666510958052407,3.32317898521721,1,1,1.7603018053015,0.453326124321491,3.13068725851829,0.164723812939199,0.803638445328069,24.2372376826997,29.209188886664,0.437726716230792,0.666844125180918,0.483443219454249,10.6184846956938,14.6706388267628,5.15136721549654,2.51594064124403,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",2000,4,1,1.50822793488699,0.574934411325022,1.37651312106404,0.52472490572151,0.683436019881079,3.13328093444403,1,1,2.14479933296173,0.56730185628168,3.78826871944562,0.171211762790579,0.853911511634593,25.4198364060812,33.1070073315456,0.433831258603112,0.655640381918128,0.483365632235006,11.0662307190082,15.2399523400956,5.79030549166932,3.23484626869985,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",2010,1,2,1.55084965813462,0.681176428235305,1.32832942910956,0.583439336814264,0.685327857682168,2.7216844372568,1,1,2.58788977653543,0.970372303897783,3.96060623473341,0.172751065003272,1.01333678163545,25.7098381692248,39.8969489601461,0.346592510550439,0.653000425992356,0.446786365462788,11.9665065792753,16.725859811975,6.55253629415375,4.01342797523006,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",2020,2,2,1.52288303599933,0.822272606241044,1.13489702454898,0.612781620210724,0.707316362457828,2.23633389477931,1,1,2.80479652911322,2.05150802165532,3.22055959500273,0.165675758558855,1.32628412163033,24.4068248856389,48.6631868074483,0.129096529228846,0.665192446876091,0.367732558832918,13.0755521056849,18.6366403800908,7.39946500038162,4.27137705361633,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",2030,3,2,1.50691375131699,0.95262187549216,1.05432654228493,0.666510958052407,0.742598301973306,1.94069241201667,1,1,3.41848842443334,3.52202212915987,3.41848842443334,0,1.50691375131699,24.7709014151854,56.4118092294351,0,0.6616985429991,0.332487028525659,16.5348980097483,19.6890238477477,8.26978971646712,5.15136721549654,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",2040,4,2,1.50513231287981,1.03077729689262,0.997947510495219,0.683436019881079,0.773731138264388,1.81635215660623,1,1,3.84704084957857,4.53316263987729,3.84704084957857,0,1.50513231287981,25.5195697812805,58.6660950040768,0,0.654727898387089,0.327068370858565,17.1729256679056,18.6149075803869,8.81573010703436,5.79030549166932,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",2050,1,3,1.50991093243198,1.06284047379652,0.973602389188466,0.685327857682168,0.800578416558011,1.78806351961648,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55253629415375,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",2060,2,3,1.53037956973227,1.07716008947178,1.00492259323647,0.707316362457828,0.819853976974278,1.803226729581,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.39946500038162,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
