"Specification","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","alpha","gamma","phi","sigma","a","omega","beta","A"
"ret_age_2020_spe1","France",1970,1,1,1.48550559563973,0.546489342702738,1.13420764298084,0.417253486705376,0.583439336814264,3.84625995412632,1,1,NA,NA,1.00716566875034,0.156235668491095,0.992885312741814,17.4681594017823,6.42296057002114,23.7668394806836,0.331617924795342,0.729751169681549,0.33749,9.89890817350569,5.75430747829532,4.59472907330485,1,0.66897175856968,0.5,0.270248830318451,1,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",1980,2,1,1.61880130424307,0.516253298645703,1.39082300545825,0.443548545777756,0.612781620210724,4.49951282919422,1,1,NA,NA,1.92962445467161,0.156235668491095,0.90996119520782,20.823696088968,3.99644688727146,25.9660500304928,0.437879625607724,0.729751169681549,0.406863304782705,10.5647766784433,5.95811297079852,5.44508739614684,1.75588337507522,0.66897175856968,0.5,0.270248830318451,1,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",1990,3,1,1.76238219028369,0.628505945581033,1.36164150128402,0.485592616644142,0.666510958052407,4.12627515927989,1,1,1.42757947459685,0.174585519920012,3.141,0.164834236846561,0.800999885782882,22.5865073177963,3.51664314045702,26.9394551796169,0.54550159993733,0.671572222272623,0.480875655287242,9.94337629483719,5.40192526355751,5.84416069666866,2.51594064124403,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",2000,4,1,1.81959142137297,0.693625743497129,1.37651312106404,0.52472490572151,0.683436019881079,3.89048538894652,1,1,1.77778716183384,0.222431314236466,3.9,0.171714826558603,0.82944776120509,23.8580767702113,3.15321524893537,29.989194946137,0.544157137991322,0.659871943853565,0.477737911047501,10.4941950416409,5.67483934300393,6.50276990508656,3.23484626869985,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",2010,1,2,1.97324079979518,0.866702399553922,1.32832942910956,0.583439336814264,0.685327857682168,3.37942040883403,1,1,2.32851919227586,0.397146591988224,4.585,0.176990009669661,1.00212193529004,24.8866615752331,2.90993107708759,38.3098143818886,0.492144123822058,0.650994265126781,0.440202309237234,11.6716420523617,6.37994885372797,7.95161430517031,4.59472907330485,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",2020,2,2,1.83717278352147,0.991971686013303,1.13489702454898,0.612781620210724,0.707316362457828,2.77677760931085,1,1,2.96384066049017,0.8913939052268,4.736,0.17805978011064,1.14972284547019,25.1011919792437,2.86389309643451,44.4535620703771,0.374189049727583,0.649203630102365,0.368734676692045,13.2609885063916,7.33418525265759,8.77958158853927,5.44508739614684,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",2030,3,2,2.04393895295298,1.05718233789043,1.15975919651342,0.599859862247166,0.668338471775975,2.84742676272299,1,1,2.85926381912009,0.803814051854339,4.685,0.177701832456331,1.24741957239459,25.0291821022227,2.87918043031599,48.0482847448113,0.389698224307344,0.649802418570471,0.37739590758444,13.0461901401807,7.32293991544373,9.21648270634231,5.84416069666866,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",2040,4,2,1.99744240198537,1.11921688694961,1.09774226154474,0.615092417892971,0.696358024437949,2.66246464400036,1,1,3.25554814427845,1.05979203217556,5.055,0.180225378919349,1.28640354205471,25.5417881959271,2.77384262515969,50.8947071499866,0.355974649994371,0.645588679954916,0.358945791059402,13.6733574593092,7.63583226722866,9.78358395951629,6.50276990508656,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",2050,1,3,2.11326715283722,1.21708520101321,1.07096262810731,0.616795071913951,0.72052057490221,2.61890698005117,1,1,3.76271135170708,1.13424893837922,6.033,0.186192039119389,1.3180199411852,26.8008039498674,2.5458158838004,55.5673400456773,0.37631172688429,0.635697048242427,0.370118420189543,14.0134334297612,7.74173594692337,10.8610819865177,7.95161430517031,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"ret_age_2020_spe1","France",2060,2,3,2.03083808162385,1.16951613340224,1.10541485256012,0.636584726212045,0.73786857927685,2.6396318811774,1,1,4.32313224179801,1.09803790766317,7.422,0.193349558297984,1.18291317549707,28.4030629826591,2.30631379673147,53.8468275738383,0.417524623848288,0.623961688004522,0.392663997098609,14.217510493564,7.77101660767387,10.7277549929081,8.77958158853927,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
